path,sha256_at_review,bytes,role,manual_section
.DS_Store,d2244e78e3d76e12d855d85324d917f1fd129f16aba5ad65dbfdb4b0c8810827,6148,Excluded local snapshot or operating system file,Source coverage and references
.gitignore,b56ab55d4f94df1d6a4d3001022351696b04818b18aa7dbf7eab7c7c722f64d1,132,Historical requirements or supporting project record,Source coverage and references
.nojekyll,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,1,Historical requirements or supporting project record,Source coverage and references
AGENTS.md,7e27ed380ee4cbb4f63ff5fbec74df90129a45477be1a07b8f9ff772b8d5e063,3710,Historical requirements or supporting project record,Source coverage and references
FORM_FIELD_PROVENANCE.md,8df6e02994d3919418462636e76eb676ef406a21442b5eb22bc1c8b6ead9cd3b,26049,Historical requirements or supporting project record,Source coverage and references
FUTURE_NTE_MAINTENANCE.md,ad0af9aa0129a2aaf19c5e7c1d09c1ed6930e0ea581c9f169baa42dce16c5346,9198,Historical requirements or supporting project record,Source coverage and references
NTE_AUDIT_RESUME.md,d41783a566f2e5c0fbd4d6a061c22a03dd8540c08fd70f4efa1eb47b7d16c5ff,37250,Historical requirements or supporting project record,Source coverage and references
NTE_CHANGE_PROPOSALS.md,a16383312999ed6371326e36df2de8e2a3d9d09e7b2863f806284451f19bae35,42925,Historical requirements or supporting project record,Source coverage and references
NTE_DESIRED_WORKFLOW.md,7ca9100329330938ffa881a3fbda985bbfdb8cc2d057aed799dd49e399089b6a,75762,Historical requirements or supporting project record,Source coverage and references
NTE_MANAGEMENT_APP.md,07e8ecf9ac3f9a69dabc851a70f9f427a6aa0e463349a677a99ca3af6cc6a6c8,13967,Historical requirements or supporting project record,Source coverage and references
NTE_PRODUCTION_DEPLOYMENT_PLAN_2026-09-08.md,0a3ea52b6145d5521016d47846c7a8cc8020df7139fa1dbd6b6853b2ae8b8211,14510,Historical requirements or supporting project record,Source coverage and references
NTE_RELEASE_QUALIFICATION.md,3e86e89a5255423d903b70127d65ce03f70b9bafd8f0ffe088c88023ae78e4c8,10655,Historical requirements or supporting project record,Source coverage and references
NTE_STRIPE_CLIENT_CONFIGURATION_QUESTIONS.md,e57a5083d16e46895fcde93f1f3b8e8417b8bf6b2c54894e301d0ca3c79f7ab8,4680,Historical requirements or supporting project record,Source coverage and references
NTE_STRIPE_CLIENT_HANDOVER_2026-09-11.md,cb00d97343aa148d1713bb5d5e12c5e1bbe5564770d5800d15dab34b54616e3b,33879,Historical requirements or supporting project record,Source coverage and references
NTE_STRIPE_IMPLEMENTATION_PLAN_2026-09-08.md,d99c3d69b53431a5221a1695fd959f0ea3873a0df7be5897da2a010691b990a5,56816,Historical requirements or supporting project record,Source coverage and references
NTE_STRIPE_MANUAL_SETUP_AND_TEST_PLAN_2026-09-08.md,2872901e259ffd5904a8230e70759d5ebed20b2158c8dc9c3c5f6dfaeb02f18b,29016,Historical requirements or supporting project record,Source coverage and references
PRODUCTION_PACKAGE_SYNC.md,1d34807de8ed1ca6bcfb0ad7ab90db1ffbdc80a91dc3e2f88447dd88b04893cc,23372,Historical requirements or supporting project record,Source coverage and references
PRODUCTION_READINESS_REVIEW_2026-08-17.md,4bf743b4c4ad7bcfa5024a9ecff91e19ceb444f6e45ac066a04297fc756bc8fc,11011,Historical requirements or supporting project record,Source coverage and references
README.md,acd10f1b870ca66d975c53cc903fb55421f4df032d1aeb74645153ad69e23a37,4208,Historical requirements or supporting project record,Source coverage and references
SALESFORCE_DEPLOYMENT.md,aebb3197ad1e549c6d1481674071ccb82c7a535e18ae6ba288e2f9f09fcbb0e6,7133,Historical requirements or supporting project record,Source coverage and references
